Job_ID,Titre,Societe,Description,Skills,Categories,Annees_Experience,Niveau_Experience,Education,Salaire,Lieu,Type_Contrat,Mode_Travail,Date_Publication,Date_Relative,Expire,Source,Lien
leonemtravel-agent-de-voyage-confirme-pour-reservation-billetterie-et-hotellerie-h-f,"Agent de Voyage Confirmé pour Réservation, Billetterie et Hôtellerie H/F",LEONEMTRAVEL,,"Excellentes compétences en com... | Sens de la négociation, créati... | Bonne maîtrise du français et ...",Stage / SIVP,2-5 ans,,,1000 - 2000 DT,,CDI,Hybride,2025-09-24,Publié:il y a 6 mois,,Stage / SIVP,https://www.tunijobs.com/company/leonemtravel/jobs/leonemtravel-agent-de-voyage-confirme-pour-reservation-billetterie-et-hotellerie-h-f
circular-maintenance-solutions-technicien-ne-en-maintenance-de-microsysteme-electronique,technicien(ne) en maintenance de microsystème électronique,CIRCULAR MAINTENANCE SOLUTIONS,,Bon niveau en français (oral e... | Solides connaissances en élect...,Stage / SIVP,Sans expérience,,,700 - 800 DT,,"CDI, CIVP",Présentiel,2025-08-25,Publié:il y a 7 mois,,Stage / SIVP,https://www.tunijobs.com/company/circular-maintenance-solutions/jobs/circular-maintenance-solutions-technicien-ne-en-maintenance-de-microsysteme-electronique
societe-les-freres-chabbah-ste-les-freres-chabbah,STE Les Frères Chabbah,SOCIETE LES FRERES CHABBAH,,Planification et gestion de pr...,Stage / SIVP,6-12 mois,,,700 - 1000 DT,,"CDD, Intérim",Présentiel,2025-08-25,Publié:il y a 7 mois,,Stage / SIVP,https://www.tunijobs.com/company/societe-les-freres-chabbah/jobs/societe-les-freres-chabbah-ste-les-freres-chabbah
otospex-solutions-job-offer-seo-professional,Job Offer: SEO Professional,Otospex Solutions,,SEO,Stage / SIVP,2-5 ans,,,Confidentiel,,CDI,Présentiel,2025-08-25,Publié:il y a 7 mois,,Stage / SIVP,https://www.tunijobs.com/company/otospex-solutions/jobs/otospex-solutions-job-offer-seo-professional
auracall-recrutement-centre-dappel,Recrutement  centre d'appel,Auracall,,Maîtrise de la langue français...,Freelance,Sans expérience,,,1250 DT,,CDI,Présentiel,2025-08-25,Publié:il y a 7 mois,,Freelance,https://www.tunijobs.com/company/auracall/jobs/auracall-recrutement-centre-dappel
otospex-solutions-were-hiring-graphic-designer-otospex-solutions,We’re Hiring: Graphic Designer – Otospex Solutions,Otospex Solutions,,Strong skills in Adobe Creativ...,Freelance,1-2 ans,,,Confidentiel,,CDI,Présentiel,2025-08-25,Publié:il y a 7 mois,,Freelance,https://www.tunijobs.com/company/otospex-solutions/jobs/otospex-solutions-were-hiring-graphic-designer-otospex-solutions
paraplume-charge-e-marketing-digital,Chargé(e) Marketing Digital,Paraplume,,marketing | marketing digital | seo,Freelance,1-2 ans,,,Confidentiel,,"CDI, CIVP",Présentiel,2025-08-25,Publié:il y a 7 mois,,Freelance,https://www.tunijobs.com/company/paraplume/jobs/paraplume-charge-e-marketing-digital
ccsav-comptable,Comptable,CCSAV,,comptabilité,Freelance,1-6 mois,,,Confidentiel,,"CDI, CIVP",Présentiel,2025-08-25,Publié:il y a 7 mois,,Freelance,https://www.tunijobs.com/company/ccsav/jobs/ccsav-comptable
xtensus-commercial-sedentaire-h-f,Commercial Sédentaire H/F,Xtensus,,Le goût du travail en équipe,Freelance,2-5 ans,,,Confidentiel,,"CIVP, CDI",Présentiel,2025-08-25,Publié:il y a 7 mois,,Freelance,https://www.tunijobs.com/company/xtensus/jobs/xtensus-commercial-sedentaire-h-f
xtensus-ingenieurs-developpeurs-php,Responsable / Assistante Administratif et Financière,Xtensus,,Écoute - Rigueur -Travail en é...,Freelance,2-5 ans,,,Confidentiel,,CDI,Présentiel,2025-08-25,Publié:il y a 7 mois,,Freelance,https://www.tunijobs.com/company/xtensus/jobs/xtensus-ingenieurs-developpeurs-php
tsi-network-digital-communication-and-marketing-specialist,Digital Communication & Marketing Specialist,TSI NETWORK,,IA | Adobe | Google,Freelance,2-5 ans,,,Confidentiel,,CDI,Présentiel,2025-08-25,Publié:il y a 7 mois,,Freelance,https://www.tunijobs.com/company/tsi-network/jobs/tsi-network-digital-communication-and-marketing-specialist
otospex-solutions-social-media-manager-djerba-or-tunis,Social Media Manager - Djerba Or Tunis,Otospex Solutions,,Comfortable speaking and prese...,Freelance,1-2 ans,,,Confidentiel,,CDI,Présentiel,2025-08-25,Publié:il y a 7 mois,,Freelance,https://www.tunijobs.com/company/otospex-solutions/jobs/otospex-solutions-social-media-manager-djerba-or-tunis
miss-2l-caissiers-a-grombalia,caissiers a Grombalia,MISS 2L,,Expérience en caisse souhaitée...,Freelance,6-12 mois,,,800 DT,,"CDI, CIVP, CDD",Présentiel,2025-08-25,Publié:il y a 7 mois,,Freelance,https://www.tunijobs.com/company/miss-2l/jobs/miss-2l-caissiers-a-grombalia
