Job_ID,Titre,Societe,Description,Categories,Annees_Experience,Niveau_Experience,Salaire,Lieu,Type_Contrat,Mode_Travail,Date_Publication,Date_Relative,Expire,Source,Lien
238004,Cyber Security Analyst,BANK ABC,"Bank ABC is further reinforcing their Cyber Security Unit with the hiring of a Cyber Security Analyst.I - Principal Responsibilities, Accountabilities and Deliverables of Role:As a Cyber Security Analyst you will …",banque / finance / assurances,,,,Tunis,,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238004/cybersecurity-analyst/
238016,Business Analyst Transport,VEO WORLDWIDE SERVICES,Business Analyst Transport – Senior (H/F)📍 Sousse | CDI🌍 À propos de VEO Worldwide ServicesFournisseur de services B2B basé en Europe et un acteur reconnu du secteur depuis plus de …,consulting / étude / stratégie,,Senior,,"Sousse, Sousse",CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238016/business-analyst-transport/
238020,CHEF DE PRODUIT,GEI,"GEI distribue en Tunisie des marques internationales de premier plan telles que TITANIA , BRAUN, BEURER , PHERGAL, BELL,etc...Depuis 36 ans, GEI fait partie des leaders de la distribution en …",commerce / vente / distribution,,,,"Ben Arous, Ben Arous",CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238020/chef-de-produit/
238021,Analyste Reporting & KPI,ROSE BLANCHE GROUP,"Envie de rejoindre le leader tunisien de l’agroalimentaire dans le secteur des céréales et dérivés, fort de plus de 100 ans d’innovation et de croissance continue? Vous souhaitez dynamiser votre …",agriculture / agro-alimentaire / environnement,,,,"Sousse Ville, Sousse",CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238021/analyste-reporting-kpi/
238014,Community Manager,Entreprise Anonyme,MissionsVous êtes la voix de la société sur le web. Votre objectif est de faire rayonner notre marque auprès des enseignants et des étudiants. Vos principales sont :Animation et modération des …,,,,800 - 1000 TND,"Ariana Ville, Ariana",SIVP,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238014/community-manager/
238022,TECHNICO-COMMERCIAL,GEI,"GEI distribue en Tunisie des marques internationales telles que Kärcher, Braun, Beurer, Techwood, etc...Depuis 35 ans, GEI fait partie des leaders de la distribution en Tunisie et est présente aussi bien …",commerce / vente / distribution,,,,"Ben Arous, Ben Arous",CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238022/technico-commercial/
238023,COMMERCIAUX PRODUITS COSMETIQUES,GEI,"GEI distribue en Tunisie des marques internationales de premier plan telles que TITANIA , BRAUN, BEURER , PHERGAL, BELL,etc...Depuis 35 ans, GEI fait partie des leaders de la distribution en …",commerce / vente / distribution,,,,"Ben Arous, Ben Arous",CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238023/commerciaux-produits-cosmetiques/
238024,CADRE GESTIONNAIRE,GEI,"GEI représente en Tunisie des marques internationales de petit électroménager et d'articles de ménage telles que Braun, Kärcher, Beurer, Fackelmann, MelittaDepuis 32 ans, GEI fait partie des leaders de la …",commerce / vente / distribution,,,,"Ben Arous, Ben Arous",CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238024/cadre-gestionnaire/
238003,Formateur,INSTITUT DES SCIENCES ECONOMIQUES ET DE GESTION,Nous recherchons des formateurs qualifiés en commerce pour rejoindre notre équipe et dispenser des cours dans les domaines du commerce international et de la gestion.🎓 Spécialités demandées :CommerceMarketing internationalÉtudes de marchéTransactions …,enseignement / formation / puériculture,,,800 - 900 TND,Tunis,CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238003/formateur-formatrice-en-commerce/
237966,Psychics Advisors,TANIS,"Jupiter, call center at Tunis: We are a French multinational that is recruiting for our branch based in Tunisia for the last 10 years ,we are recruiting for the english …",call center / télévente,,,700 - 1500 TND,"Ettadhamen, Ariana",CDI | SIVP,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237966/psychics-advisors/
